video_title,video_link,views,likes,published_at,thumbnail
공군(ROKAF) - 쏘다팝(LAUNCH POP),https://www.youtube.com/watch?v=kUfIJdvIHT8,1186004,0,2025-10-19T08:10:24Z,https://i.ytimg.com/vi/kUfIJdvIHT8/hqdefault.jpg
나이 듣고 난리 났다는 공군 중령의 외모,https://www.youtube.com/watch?v=ic20udMnnVk,938450,7282,2025-10-12T09:01:04Z,https://i.ytimg.com/vi/ic20udMnnVk/hqdefault.jpg
요즘 달라졌다는 공군 근황,https://www.youtube.com/watch?v=kMJ4CkC8dzQ,431769,4726,2025-11-06T06:55:50Z,https://i.ytimg.com/vi/kMJ4CkC8dzQ/hqdefault.jpg
박수홍이 응원한 공군부부 아내 출산 후 갑자기 쓰러져,https://www.youtube.com/watch?v=4qup2IydB0A,23386,617,2025-10-22T05:39:50Z,https://i.ytimg.com/vi/4qup2IydB0A/hqdefault.jpg
F-22를 압도했는데 미공군이 후회하는 이유,https://www.youtube.com/watch?v=WAmxdVd56xs,948638,4666,2025-10-29T14:09:26Z,https://i.ytimg.com/vi/WAmxdVd56xs/hqdefault.jpg
육군(R.O.K.A) - 골든(GOLDEN),https://www.youtube.com/watch?v=ZFndk-XvFYQ,716736,17166,2025-10-25T02:50:06Z,https://i.ytimg.com/vi/ZFndk-XvFYQ/hqdefault.jpg
"공군화 되어 간다는 육군, 해군 공식 채널 근황",https://www.youtube.com/watch?v=-xqBHlTm4n0,82668,922,2025-10-28T09:56:47Z,https://i.ytimg.com/vi/-xqBHlTm4n0/hqdefault.jpg
공군 군무원 반년 해본 찐 경험담,https://www.youtube.com/watch?v=rbqQPzptQTw,96941,705,2025-10-27T02:53:24Z,https://i.ytimg.com/vi/rbqQPzptQTw/hqdefault.jpg
요즘 공군 병사들 학력 수준,https://www.youtube.com/watch?v=2u7oqKT4vQg,392081,3115,2025-11-02T03:58:37Z,https://i.ytimg.com/vi/2u7oqKT4vQg/hqdefault.jpg
육군보다 공군을 가는게 이득인 이유,https://www.youtube.com/watch?v=RaTUWKdqFWo,1156026,9136,2025-10-15T11:00:59Z,https://i.ytimg.com/vi/RaTUWKdqFWo/hqdefault.jpg
꼬리가 멈추지 않는 전투기의 이야기(픽션입니다) #제10기국민조종사,https://www.youtube.com/watch?v=VA6TF_rOQHI,352098,0,2025-10-31T08:35:01Z,https://i.ytimg.com/vi/VA6TF_rOQHI/hqdefault.jpg
속이 뻥 뚫리는 공군 소다팝  #국뽕 #대한민국공군 #소다팝 #국뽕,https://www.youtube.com/watch?v=tWAwgQHVZxg,20718,180,2025-10-19T13:46:30Z,https://i.ytimg.com/vi/tWAwgQHVZxg/hqdefault.jpg
공군 병 2026년 2월 입영 모집 안내,https://www.youtube.com/watch?v=xz1nSGPgpzE,387,6,2025-10-23T08:29:58Z,https://i.ytimg.com/vi/xz1nSGPgpzE/hqdefault.jpg
요즘 카투사보다 가기 힘든 공군 근황,https://www.youtube.com/watch?v=7Kb8TLisdiI,119417,816,2025-11-01T03:53:28Z,https://i.ytimg.com/vi/7Kb8TLisdiI/hqdefault.jpg
전투기 조종사가 놀이기구를 타면,https://www.youtube.com/watch?v=hF9Ncd8SM4U,6206820,100268,2025-10-12T02:25:48Z,https://i.ytimg.com/vi/hF9Ncd8SM4U/hqdefault.jpg
공군 가는게 이득인 이유,https://www.youtube.com/watch?v=2nfaTvjV9_k,33248,902,2025-10-20T23:00:03Z,https://i.ytimg.com/vi/2nfaTvjV9_k/hqdefault.jpg
"Flight Logged ✈️ | 공군참모총장, KF-21 First Flight",https://www.youtube.com/watch?v=L81rLCJX2DY,56174,0,2025-11-07T08:00:04Z,https://i.ytimg.com/vi/L81rLCJX2DY/hqdefault.jpg
한국을 방문 하는 에어포스 원을 호위하는 한국 공군 미국 공군 F16 전투기,https://www.youtube.com/watch?v=Xork2ooC0g8,46022,1159,2025-10-29T09:59:29Z,https://i.ytimg.com/vi/Xork2ooC0g8/hqdefault.jpg
공군사관학교 요즘 어떨까요?,https://www.youtube.com/watch?v=NoAzY-HWkqA,20673,48,2025-10-25T10:00:41Z,https://i.ytimg.com/vi/NoAzY-HWkqA/hqdefault.jpg
공군사관학교 기초군사훈련 현장,https://www.youtube.com/watch?v=aROqfeQJkz8,10838,29,2025-10-16T12:37:06Z,https://i.ytimg.com/vi/aROqfeQJkz8/hqdefault.jpg
공군참모총장 KF-21전투기 탑승해 첫 지휘비행 @kfnplus ㅣ국방홍보원,https://www.youtube.com/watch?v=Tb4pODfX0Tc,83093,1695,2025-11-05T07:46:29Z,https://i.ytimg.com/vi/Tb4pODfX0Tc/hqdefault.jpg
5수까지 해야하는 요즘 공군 근황,https://www.youtube.com/watch?v=lInT0Bi_gVk,48264,393,2025-10-25T10:01:21Z,https://i.ytimg.com/vi/lInT0Bi_gVk/hqdefault.jpg
갈테야테야 하늘로 갈테야✈️ [제10기 국민조종사],https://www.youtube.com/watch?v=Rwi42SsVBsg,23391,0,2025-11-01T07:01:48Z,https://i.ytimg.com/vi/Rwi42SsVBsg/hqdefault.jpg
요즘 물 오른 대한민국 공군,https://www.youtube.com/watch?v=1yFgjQQrWZU,386978,9120,2025-10-22T08:02:00Z,https://i.ytimg.com/vi/1yFgjQQrWZU/hqdefault.jpg
[안승회 기자의 군금해] 예비역 해병 대위가 공군 FA-50 전투기 타는 법 | 국방홍보원 @kfnplus,https://www.youtube.com/watch?v=nW--QHljDc0,9400,180,2025-10-29T03:01:06Z,https://i.ytimg.com/vi/nW--QHljDc0/hqdefault.jpg
과연 공군은 군캉스일까요?🤔,https://www.youtube.com/watch?v=1meBNKMTsaU,2266,16,2025-10-16T02:30:04Z,https://i.ytimg.com/vi/1meBNKMTsaU/hqdefault.jpg
공군 조종사와 해군 조종사의 극명한 차이,https://www.youtube.com/watch?v=U6rxUhKuVOo,42537,193,2025-10-13T14:15:08Z,https://i.ytimg.com/vi/U6rxUhKuVOo/hqdefault.jpg
"‘소다팝’ 아니고, ‘쏘다팝’…공군 영상 공개에 화제 [경제콘서트] / KBS  2025.10.20.",https://www.youtube.com/watch?v=qwMaFP8hIyk,14703,67,2025-10-20T09:40:55Z,https://i.ytimg.com/vi/qwMaFP8hIyk/hqdefault.jpg
대하 전어 가을야구 아덱스,https://www.youtube.com/watch?v=AkQvNcAmspA,171665,0,2025-10-16T07:52:55Z,https://i.ytimg.com/vi/AkQvNcAmspA/hqdefault.jpg
공군·육군 잇따른 패러디 대박 해군도 질 수 없다? '기대' / KNN,https://www.youtube.com/watch?v=3Z87Wo9-WkU,7888,107,2025-10-28T04:00:05Z,https://i.ytimg.com/vi/3Z87Wo9-WkU/hqdefault.jpg
공군 병 2026년 1월 입영 1차 합격 커트라인 점수 안내,https://www.youtube.com/watch?v=8lPh-HYgZZ4,1202,7,2025-10-17T06:36:33Z,https://i.ytimg.com/vi/8lPh-HYgZZ4/hqdefault.jpg
"[현장쏙] ""Young Man!"" 김해공항 울려퍼진 Y.M.C.A…트럼프가 가장 반갑게 인사한 사람은 대한민국 공군 준장? / 연합뉴스TV(YonhapnewsTV)",https://www.youtube.com/watch?v=_YSD90sxW6o,46348,425,2025-10-29T04:36:19Z,https://i.ytimg.com/vi/_YSD90sxW6o/hqdefault.jpg
'케데헌' 소다팝을 매운 맛으로 재해석한 공군 '쏘다팝' - 김명준의 뉴스파이터,https://www.youtube.com/watch?v=eQ7sGd_xG6A,770,5,2025-10-20T11:03:53Z,https://i.ytimg.com/vi/eQ7sGd_xG6A/hqdefault.jpg
콩쿠르 휩쓴 ‘첼로천재’가 공군에?! 공군 군악병의 하루｜휴먼다큐 ‘군인이 좋다’｜국방홍보원,https://www.youtube.com/watch?v=9w9uZe8kWZs,856,32,2025-10-29T08:00:23Z,https://i.ytimg.com/vi/9w9uZe8kWZs/hqdefault.jpg
"두 공군 조종사 출신 합참의장이 만났다! 한미 합참의장, 한미동맹 최초로 KF-16·F-16 연합 지휘비행",https://www.youtube.com/watch?v=fdf5yXXBzuA,3244,68,2025-11-03T11:28:37Z,https://i.ytimg.com/vi/fdf5yXXBzuA/hqdefault.jpg
공군가면 많이 듣는다는 말,https://www.youtube.com/watch?v=pFIOlNCvVfk,263585,2980,2025-11-07T07:12:49Z,https://i.ytimg.com/vi/pFIOlNCvVfk/hqdefault.jpg
"""상상 이상..매력적 명품 전투기"" 공군참모총장 KF-21 직접 탑승해 첫 지휘비행 - [현장PLAY] MBC뉴스 2025년 11월 05일",https://www.youtube.com/watch?v=G2dAaYRVQgI,53040,1071,2025-11-05T15:21:00Z,https://i.ytimg.com/vi/G2dAaYRVQgI/hqdefault.jpg
"한국 공군 자존심 건 대결, 일본의 반응은?",https://www.youtube.com/watch?v=U-l6SSgeIFU,894112,17884,2025-11-04T09:11:41Z,https://i.ytimg.com/vi/U-l6SSgeIFU/hqdefault.jpg
"한국 공군 전투기, 트럼프 대통령 탄 에어포스 원 엄호 / #채널A #shorts #DLAB",https://www.youtube.com/watch?v=oIRLDR3ee9k,925661,8582,2025-10-29T05:29:12Z,https://i.ytimg.com/vi/oIRLDR3ee9k/hqdefault.jpg
"공군 홍보 영상 '인기 폭발'…""만든 사람 휴가 줘라"" #shorts",https://www.youtube.com/watch?v=Kvn9PJfR9hg,77708,427,2025-10-20T01:28:54Z,https://i.ytimg.com/vi/Kvn9PJfR9hg/hqdefault.jpg
"""내 세금 잘 쓰이고 있구나""…'이 군인 휴가 보내!' 인기 폭발 / SBS / 실시간 e뉴스",https://www.youtube.com/watch?v=VwGptgSXnKw,38680,375,2025-10-20T00:05:00Z,https://i.ytimg.com/vi/VwGptgSXnKw/hqdefault.jpg
전세계를 지키는 대한민국 공군 apec 초계작전 #군사 #쇼츠,https://www.youtube.com/watch?v=rIiuxU_dbcY,219008,1642,2025-10-30T04:56:12Z,https://i.ytimg.com/vi/rIiuxU_dbcY/hqdefault.jpg
[#우리아기가또태어났어요] 가슴 설레는 공군 부부의 러브스토리! 이런 걸 공짜로 들어도 될는지...♥ #TV조선조이 #TVCHOSUNJOY (TV CHOSUN 251021 방송),https://www.youtube.com/watch?v=SCPa0NtIZZM,6323,66,2025-10-22T08:30:16Z,https://i.ytimg.com/vi/SCPa0NtIZZM/hqdefault.jpg
대한민국 공군의 케데헌 쏘다팝 대박! 상큼 멜로디에 미사일 펑펑 터진다,https://www.youtube.com/watch?v=4GRpbWxv3ik,583105,8762,2025-10-27T22:45:00Z,https://i.ytimg.com/vi/4GRpbWxv3ik/hqdefault.jpg
출산 임박🚨 분만 직전까지도 꽁냥꽁냥한💕 공군 부부✈👩‍❤ TV CHOSUN 251021 방송 | [우리 아기가 또 태어났어요] 4회 | TV조선,https://www.youtube.com/watch?v=vIPHa6V5M84,14633,52,2025-10-21T15:04:50Z,https://i.ytimg.com/vi/vIPHa6V5M84/hqdefault.jpg
"공군 특수부대 AIㅣ(CCT, SART, 684부대) #shorts",https://www.youtube.com/watch?v=7_YkYS8kiwM,26363,160,2025-10-25T14:37:27Z,https://i.ytimg.com/vi/7_YkYS8kiwM/hqdefault.jpg
사천 상공 뜬 'KF-21' 클라스.. '시험비행' 깜놀한 공군총장 #Shorts (MBC뉴스),https://www.youtube.com/watch?v=K7c-h98o3e0,126025,1450,2025-11-05T08:29:32Z,https://i.ytimg.com/vi/K7c-h98o3e0/hqdefault.jpg
"""특전사 707 여군 고공 낙하 후 점프 장면""",https://www.youtube.com/watch?v=MYw2O2mXEuY,2023411,9876,2025-10-12T05:03:47Z,https://i.ytimg.com/vi/MYw2O2mXEuY/hqdefault.jpg
한국 공군 F-16 전투기✈️미 공군 F-16 전투기 👍🏻트럼프 대통령의 에어포스원을 호위하며 한국 영공으로 들어오는 영상 by Margo Martin 🇺🇸#korea,https://www.youtube.com/watch?v=TRvKwG7SK50,616446,2138,2025-11-01T18:36:28Z,https://i.ytimg.com/vi/TRvKwG7SK50/hqdefault.jpg
공군 '케데헌' 소다팝 패러디한 '쏘다팝' 공개 화제 [현장영상] / 채널A,https://www.youtube.com/watch?v=M8QE3y2klWQ,7919,54,2025-10-20T01:58:23Z,https://i.ytimg.com/vi/M8QE3y2klWQ/hqdefault.jpg
